"Funder category (country, international, or philanthropy)","Recipient category (country, international, or philanthropy)","Year","Amount disbursed for year for capacity (nominal USD)","Total disbursed post-2013 for capacity (nominal USD)","Percentage of total distributed to this pathway in year"
Country,Country,2014.0,8502504132.563359,78508787329.49144,10.83
Country,Country,2015.0,7946204728.701227,78508787329.49144,10.12
Country,Country,2016.0,6731550173.681293,78508787329.49144,8.57
Country,Country,2017.0,7838267385.732681,78508787329.49144,9.98
Country,Country,2018.0,8140080127.477087,78508787329.49144,10.37
Country,Country,2019.0,12148938261.82789,78508787329.49144,15.47
Country,Country,2020.0,12039475571.882616,78508787329.49144,15.34
Country,Country,2021.0,12161449916.788343,78508787329.49144,15.49
Country,Country,2022.0,2989598930.9309397,78508787329.49144,3.81
Country,Country,2023.0,627099.906,78508787329.49144,0.00
Country,Country,2024.0,7157666.666666667,78508787329.49144,0.01
Country,Country,2025.0,2933333.3333333335,78508787329.49144,0.00
Country,International,2014.0,2126238569.5734682,17472782003.860874,12.17
Country,International,2015.0,1239492152.6640172,17472782003.860874,7.09
Country,International,2016.0,2396521593.258531,17472782003.860874,13.72
Country,International,2017.0,1844847224.1921296,17472782003.860874,10.56
Country,International,2018.0,1843898775.7582557,17472782003.860874,10.55
Country,International,2019.0,2006038267.5811222,17472782003.860874,11.48
Country,International,2020.0,2530316441.263974,17472782003.860874,14.48
Country,International,2021.0,2315698789.8864155,17472782003.860874,13.25
Country,International,2022.0,1164885658.186028,17472782003.860874,6.67
Country,International,2023.0,2803882.9092005,17472782003.860874,0.02
Country,International,2024.0,1020324.2938671666,17472782003.860874,0.01
Country,International,2025.0,1020324.2938671666,17472782003.860874,0.01
Country,Other,2014.0,1275975094.173948,11988766243.570011,10.64
Country,Other,2015.0,1194893157.5306249,11988766243.570011,9.97
Country,Other,2016.0,1315429908.3148947,11988766243.570011,10.97
Country,Other,2017.0,1484215648.0087547,11988766243.570011,12.38
Country,Other,2018.0,1728091692.198609,11988766243.570011,14.41
Country,Other,2019.0,1381167765.4476156,11988766243.570011,11.52
Country,Other,2020.0,1336152167.0284383,11988766243.570011,11.15
Country,Other,2021.0,1175690434.368688,11988766243.570011,9.81
Country,Other,2022.0,1097150376.4984386,11988766243.570011,9.15
Country,,2017.0,386048.85679833323,5579729.106898801,6.92
Country,,2018.0,602603.6248185199,5579729.106898801,10.80
Country,,2019.0,841669.7614577606,5579729.106898801,15.08
Country,,2020.0,1137133.5454677606,5579729.106898801,20.38
Country,,2021.0,1391194.7610177607,5579729.106898801,24.93
Country,,2022.0,689476.2323386666,5579729.106898801,12.36
Country,,2023.0,265801.1625,5579729.106898801,4.76
Country,,2024.0,265801.1625,5579729.106898801,4.76
International,Country,2014.0,7565413434.350487,76370390975.11551,9.91
International,Country,2015.0,7934857051.194347,76370390975.11551,10.39
International,Country,2016.0,7810535054.120345,76370390975.11551,10.23
International,Country,2017.0,9129687258.002605,76370390975.11551,11.95
International,Country,2018.0,8464861408.867439,76370390975.11551,11.08
International,Country,2019.0,8342646633.591373,76370390975.11551,10.92
International,Country,2020.0,12417492254.698921,76370390975.11551,16.26
International,Country,2021.0,11114726916.160122,76370390975.11551,14.55
International,Country,2022.0,3590170964.1298575,76370390975.11551,4.70
International,International,2014.0,25943499.99,266625641.71,9.73
International,International,2015.0,23951706.540000003,266625641.71,8.98
International,International,2016.0,82502667.12,266625641.71,30.94
International,International,2017.0,32265271.309999995,266625641.71,12.10
International,International,2018.0,14185482.12,266625641.71,5.32
International,International,2019.0,22268829.87,266625641.71,8.35
International,International,2020.0,32733608.23,266625641.71,12.28
International,International,2021.0,25383132.669999987,266625641.71,9.52
International,International,2022.0,7391443.860000016,266625641.71,2.77
International,Other,2014.0,261353198.08877593,3631969588.9875474,7.20
International,Other,2015.0,291430716.6071869,3631969588.9875474,8.02
International,Other,2016.0,425241020.9282122,3631969588.9875474,11.71
International,Other,2017.0,401055014.20073634,3631969588.9875474,11.04
International,Other,2018.0,438513283.5613011,3631969588.9875474,12.07
International,Other,2019.0,508680441.6176396,3631969588.9875474,14.01
International,Other,2020.0,496684596.4982462,3631969588.9875474,13.68
International,Other,2021.0,694873315.3271431,3631969588.9875474,19.13
International,Other,2022.0,114138002.15830629,3631969588.9875474,3.14
Philanthropy,Country,2014.0,1276740060.2396488,16958722942.60574,7.53
Philanthropy,Country,2015.0,1628126386.9502976,16958722942.60574,9.60
Philanthropy,Country,2016.0,1985548619.37959,16958722942.60574,11.71
Philanthropy,Country,2017.0,2254122551.928756,16958722942.60574,13.29
Philanthropy,Country,2018.0,2435219072.9961553,16958722942.60574,14.36
Philanthropy,Country,2019.0,2576605357.6723304,16958722942.60574,15.19
Philanthropy,Country,2020.0,2589731482.5333123,16958722942.60574,15.27
Philanthropy,Country,2021.0,1710777906.416567,16958722942.60574,10.09
Philanthropy,Country,2022.0,501851504.4890833,16958722942.60574,2.96
Philanthropy,International,2017.0,23716812,147367719,16.09
Philanthropy,International,2018.0,40000000,147367719,27.14
Philanthropy,International,2019.0,22635847,147367719,15.36
Philanthropy,International,2020.0,61015060,147367719,41.40
Other,Country,2014.0,8303301.556293471,316808989.7363117,2.62
Other,Country,2015.0,3820960.017034329,316808989.7363117,1.21
Other,Country,2016.0,17517035.106276963,316808989.7363117,5.53
Other,Country,2017.0,40824074.50636724,316808989.7363117,12.89
Other,Country,2018.0,51126481.52454158,316808989.7363117,16.14
Other,Country,2019.0,67632014.59294127,316808989.7363117,21.35
Other,Country,2020.0,73563393.0922168,316808989.7363117,23.22
Other,Country,2021.0,35648513.837014385,316808989.7363117,11.25
Other,Country,2022.0,18373215.503625646,316808989.7363117,5.80
,Country,2014.0,27060703.322637305,815930761.1338912,3.32
,Country,2015.0,31830890.948033758,815930761.1338912,3.90
,Country,2016.0,61867262.456666514,815930761.1338912,7.58
,Country,2017.0,115002697.44668481,815930761.1338912,14.09
,Country,2018.0,109586531.28954692,815930761.1338912,13.43
,Country,2019.0,151957032.15547454,815930761.1338912,18.62
,Country,2020.0,172988526.36482808,815930761.1338912,21.20
,Country,2021.0,134140005.06521672,815930761.1338912,16.44
,Country,2022.0,11497112.084802456,815930761.1338912,1.41
