"Funder name (country only, from among top 50 only)",Funder ID,Total disb. to countries post-2013 for cap. (nom. USD)
United States of America,1078,39024767553.75988
United Kingdom,1075,9990727050.240482
European Union,1200,6007425963.37356
Germany,869,4398688605.340968
Canada,908,4121745108.127093
Netherlands,868,3961994814.9679694
Australia,883,2074897271.1758146
Norway,1017,987637759.7226155
Sweden,1059,809271749.1658959
France,945,594928972.4709736
Italy,971,510326906.6071263
Denmark,927,494022757.67938274
Finland,944,452534831.6648687
Japan,973,364060770.41966474
Switzerland,1060,259612279.24718407
New Zealand,1010,213685857.60271457
Belgium,891,205924820.50153193
Spain,1055,205768681.19908255
Republic of Korea,1030,129335992.78793705
Ireland,969,96570394.7675008
