"Funder name (int'l orgs. only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1411,31301329929.159935
World Bank,1467,13053372782.184767
United Nations (UN),1428,11494314151.995619
Global Alliance for Vaccines and Immunisation (GAVI),1224,10844200212.099977
Inter-American Development Bank,1244,2685462729
World Health Organization (WHO),1472,1412631712.421498
Asian Development Bank,1120,1202730790.0400004
International Rescue Committee,1261,830553639.4834462
Plan International,1352,457931362.03230995
Sightsavers,1383,411122551.84252733
Malaria Consortium,1286,330880919.3639374
MSI Reproductive Choices,1623,298008605.5930486
Save the Children,1377,266370216.46373376
African Development Bank,1102,225958796.54665723
Abt Associates Inc,1681,216917329.47141543
Palladium International Limited,1335,151469529.76797807
International Planned Parenthood Federation,1260,128817544.9801901
Options Consultancy Services,1331,123780988.78371917
Action Against Hunger,1093,116390983.29595819
Clinton Health Access Initiative,1168,79879558.52895457
International Labour Organization (ILO),1257,76023509
