"Funder name (int'l orgs. only, from among top 50 only)",Funder ID,Total disb. to countries post-2013 for cap. (nom. USD)
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",1411,30655137324.509995
World Bank,1467,15183541330.452196
United Nations (UN),1428,13038219307.730194
Global Alliance for Vaccines and Immunisation (GAVI),1224,11759971615.368994
Inter-American Development Bank,1244,3714074866
World Health Organization (WHO),1472,723603935.6283966
Asian Development Bank,1120,464798389.12
Plan International,1352,455737644.30977833
Sightsavers,1383,390017381.7651991
MSI Reproductive Choices,1623,389303029.22790045
Malaria Consortium,1286,302695660.4291021
Crown Agents Limited,1175,281192630.07017726
African Development Bank,1102,278777839.1038557
Save the Children,1377,257279898.28295463
Abt Associates Inc,1681,216917329.47141543
International Rescue Committee,1261,190540882.3142002
Palladium International Limited,1335,151469529.7679781
International Planned Parenthood Federation,1260,123546414.14606336
Options Consultancy Services,1331,115855493.99109255
Aidsfonds - Soa Aids Nederland,1670,105944444.84696878
Clinton Health Access Initiative,1168,76249223.44366102
International Labour Organization (ILO),1257,76023509
Action Against Hunger,1093,70727521.7401385
Oxfam International,1333,70559037.59649353
Concern Worldwide,1643,52704296.07586313
Cordaid,1172,51307993.28878553
