"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to countries post-2013 for cap. (nom. USD)"
United States of America,1078,386867052.8833335
United Kingdom,1075,338314384.2830276
Canada,908,102981267.79279155
Australia,883,62510419.77267265
European Union,1200,29181859.684007306
Germany,869,25254622.736601442
Italy,971,4489874.007757118
New Zealand,1010,3770775.3594284067
Denmark,927,2230858.788601872
Ireland,969,1525771.8422838475
Switzerland,1060,861619.7832664977
Netherlands,868,752654.1311629461
Spain,1055,112484.57148398292
Finland,944,2465.64238779647
Sweden,1059,0.0
