"Funder name (country only, from among top 50 only)","Funder ID","Total disb. to int'l orgs. post-2013 for cap. (nom. USD)"
United Kingdom,1075,56511175.15833334
United States of America,1078,40447384.5992295
European Union,1200,17796633.545333333
Germany,869,15069351.706666667
Canada,908,12981239.072683835
Norway,1017,11450944.381333334
Japan,973,9777266.705695666
Sweden,1059,6894890.845211279
Belgium,891,4400000.0
Denmark,927,3611074.333333333
Republic of Korea,1030,2316666.6666666665
Ireland,969,2200000.0
Netherlands,868,2075550.0
Australia,883,1522972.6666666665
Italy,971,889442.1090666668
Switzerland,1060,846861.0
New Zealand,1010,384468.3333333333
Finland,944,211774.66666666666
France,945,211774.66666666666
Spain,1055,151451.0
